字段名	字段含义	库名	表名	表描述
m12_id_caon_orgnum	"按身份证号查询，近12个月申请线上现金分期的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_coon_allnum	按身份证号查询，近12个月申请线上消费分期的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_coon_allnum	"按身份证号查询，近12个月申请线上消费分期的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_coon_orgnum	按身份证号查询，近12个月申请线上消费分期的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_coon_orgnum	"按身份证号查询，近12个月申请线上消费分期的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_pdl_allnum	按身份证号查询，近12个月申请线上小额现金贷的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_pdl_allnum	"按身份证号查询，近12个月申请线上小额现金贷的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_pdl_orgnum	按身份证号查询，近12个月申请线上小额现金贷的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_pdl_orgnum	"按身份证号查询，近12个月申请线上小额现金贷的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_caoff_allnum	按身份证号查询，近12个月申请线下现金分期的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_caoff_allnum	"按身份证号查询，近12个月申请线下现金分期的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_caoff_orgnum	按身份证号查询，近12个月申请线下现金分期的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_caoff_orgnum	"按身份证号查询，近12个月申请线下现金分期的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_cooff_allnum	按身份证号查询，近12个月申请线下消费分期的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_cooff_allnum	"按身份证号查询，近12个月申请线下消费分期的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_cooff_orgnum	按身份证号查询，近12个月申请线下消费分期的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_cooff_orgnum	"按身份证号查询，近12个月申请线下消费分期的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_rel_allnum	按身份证号查询，近12个月申请信用卡（类信用卡）的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_rel_allnum	"按身份证号查询，近12个月申请信用卡（类信用卡）的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_rel_orgnum	按身份证号查询，近12个月申请信用卡（类信用卡）的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_rel_orgnum	"按身份证号查询，近12个月申请信用卡（类信用卡）的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_max_inteday	按身份证号查询，近12个月申请最大间隔天数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_max_inteday	"按身份证号查询，近12个月申请最大间隔天数(取""空/0-N""；空：无申请记录；0-N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_min_inteday	按身份证号查询，近12个月申请最小间隔天数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_min_inteday	"按身份证号查询，近12个月申请最小间隔天数(取""空/0-N""；空：无申请记录；0-N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_tot_mons	按身份证号查询，近12个月有申请记录月份数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_tot_mons	"按身份证号查询，近12个月有申请记录月份数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_nbank_selfnum	按身份证号查询，近12个月在本机构(本机构为非银)申请次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_nbank_selfnum	"按身份证号查询，近12个月在本机构(本机构为非银)申请次数(取""空/0/N""；空：无申请记录；0本机构无申请记录但其他非银机构有申请；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_bank_selfnum	按身份证号查询，近12个月在本机构(本机构为银行)的申请次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_bank_selfnum	"按身份证号查询，近12个月在本机构(本机构为银行)的申请次数(取""空/0/N""；空：无申请记录；0本机构无申请记录但其他银行机构有申请；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_nbank_p2p_allnum	按身份证号查询，近12个月在非银机构-p2p机构申请次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_nbank_p2p_allnum	"按身份证号查询，近12个月在非银机构-p2p机构申请次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_nbank_p2p_orgnum	按身份证号查询，近12个月在非银机构-p2p申请机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_nbank_p2p_orgnum	"按身份证号查询，近12个月在非银机构-p2p申请机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_nbank_autofin_allnum	按身份证号查询，近12个月在非银机构-持牌汽车金融机构申请次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
